Datetime,AAPL High,AAL High,AAP High,A High,ABBV High,ABT High,ACGL High,ACN High
2024-01-18 11:16:00-05:00,188.41000366210938,13.109999656677246,61.470001220703125,128.90249633789062,162.2100067138672,113.7300033569336,78.45999908447266,356.3399963378906
2024-01-18 11:17:00-05:00,188.5,13.119999885559082,61.529998779296875,128.93499755859375,162.3000030517578,113.83000183105469,78.50499725341797,356.4800109863281
2024-01-18 11:18:00-05:00,188.63999938964844,13.119999885559082,61.54999923706055,129.00999450683594,162.3000030517578,113.80999755859375,78.47000122070312,356.489990234375
2024-01-18 11:19:00-05:00,188.6699981689453,13.114999771118164,61.5,129.02000427246094,162.3000030517578,113.77999877929688,78.52249908447266,
2024-01-18 11:20:00-05:00,188.72549438476562,13.119999885559082,61.4900016784668,128.92999267578125,162.30999755859375,113.83999633789062,78.47000122070312,356.3374938964844
2024-01-18 11:21:00-05:00,188.78500366210938,13.119999885559082,61.5,129.02999877929688,162.3699951171875,113.87999725341797,78.47000122070312,356.4125061035156
2024-01-18 11:22:00-05:00,188.64999389648438,13.125,61.52000045776367,128.9600067138672,162.36500549316406,113.83999633789062,78.43000030517578,356.3500061035156
2024-01-18 11:23:00-05:00,188.5590057373047,13.130000114440918,61.529998779296875,129.0,162.3699951171875,113.8499984741211,78.43000030517578,356.3800048828125
2024-01-18 11:24:00-05:00,188.61000061035156,13.140000343322754,61.529998779296875,128.98500061035156,162.3300018310547,113.80999755859375,78.41000366210938,
2024-01-18 11:25:00-05:00,188.60989379882812,13.15999984741211,61.59000015258789,129.0399932861328,162.3300018310547,113.8499984741211,78.41999816894531,356.5347900390625
2024-01-18 11:26:00-05:00,188.67999267578125,13.149999618530273,61.540000915527344,129.02000427246094,162.3300018310547,113.8499984741211,78.41999816894531,356.5400085449219
2024-01-18 11:27:00-05:00,188.6699981689453,13.140000343322754,61.60499954223633,129.0449981689453,162.25,113.7699966430664,78.44999694824219,356.4599914550781
